MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventType,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y
1,Huskies,Huskies_G1,,1H,31.174681,Free Kick,Goal kick,0,0,66,89
1,Opponent1,Opponent1_D1,,1H,33.730326,Duel,Air duel,34,11,22,0
1,Huskies,Huskies_F1,,1H,33.812965,Duel,Air duel,66,89,78,100
1,Opponent1,Opponent1_D2,,1H,42.611028,Free Kick,Throw in,22,0,66,3
1,Huskies,Huskies_D1,Huskies_F1,1H,46.323501,Pass,Head pass,34,97,59,95
1,Huskies,Huskies_F1,,1H,47.004714,Duel,Ground loose ball duel,59,95,64,94
1,Opponent1,Opponent1_D1,,1H,47.213716,Duel,Ground loose ball duel,41,5,36,6
1,Opponent1,Opponent1_M1,,1H,48.487897,Pass,Simple pass,36,6,45,5
1,Huskies,Huskies_F1,,1H,49.880983,Pass,Head pass,55,95,57,93
1,Opponent1,Opponent1_D1,,1H,50.109404,Duel,Ground loose ball duel,43,7,47,11
1,Huskies,Huskies_M1,Huskies_F2,1H,51.022546,Pass,Simple pass,53,89,69,91
1,Huskies,Huskies_F2,,1H,51.624604,Pass,Simple pass,69,91,75,100
1,Opponent1,Opponent1_D2,,1H,62.221515,Free Kick,Throw in,30,0,40,0
1,Huskies,Huskies_F1,,1H,85.962263,Free Kick,Throw in,65,100,81,84
1,Opponent1,Opponent1_D2,Opponent1_G1,1H,89.008721,Pass,Simple pass,19,16,5,50
1,Opponent1,Opponent1_G1,Opponent1_F1,1H,92.21616,Pass,Launch,5,50,67,44
1,Opponent1,Opponent1_F1,,1H,95.978416,Duel,Air duel,67,44,58,45
1,Huskies,Huskies_D2,,1H,96.945738,Duel,Air duel,33,56,42,55
1,Huskies,Huskies_M2,Huskies_M3,1H,98.265191,Pass,Simple pass,42,55,36,54
1,Huskies,Huskies_M3,,1H,99.398625,Pass,Simple pass,36,54,36,63
1,Opponent1,Opponent1_M1,,1H,99.759819,Pass,Simple pass,64,37,70,5
1,Huskies,Huskies_D1,,1H,103.356274,Pass,High pass,30,95,72,97
1,Opponent1,Opponent1_D1,,1H,105.003815,Duel,Air duel,28,3,39,7
1,Huskies,Huskies_F1,,1H,106.139608,Duel,Air duel,72,97,61,93
1,Opponent1,Opponent1_M1,,1H,107.847835,Pass,Simple pass,39,7,27,2
1,Huskies,Huskies_F1,,1H,108.290691,Others on the ball,Touch,73,98,70,89
1,Opponent1,Opponent1_D1,Opponent1_F2,1H,109.025545,Pass,Simple pass,30,11,31,22
1,Opponent1,Opponent1_F2,Opponent1_D2,1H,111.025997,Pass,Simple pass,31,22,27,23
1,Opponent1,Opponent1_D2,Opponent1_M1,1H,112.856148,Pass,High pass,27,23,36,6
1,Opponent1,Opponent1_M1,,1H,115.289285,Pass,Simple pass,36,6,35,2
1,Huskies,Huskies_F1,,1H,116.880164,Others on the ball,Touch,65,98,66,100
1,Opponent1,Opponent1_D2,,1H,127.72578,Free Kick,Throw in,34,0,66,9
1,Huskies,Huskies_D1,Huskies_F1,1H,130.65653,Pass,Head pass,34,91,52,97
1,Huskies,Huskies_F1,,1H,134.603958,Duel,Ground defending duel,52,97,47,100
1,Opponent1,Opponent1_D1,,1H,148.68747,Free Kick,Throw in,53,0,48,12
1,Opponent1,Opponent1_F2,Opponent1_D3,1H,151.85275,Pass,Simple pass,48,12,46,56
1,Opponent1,Opponent1_D3,Opponent1_M2,1H,154.636116,Pass,Simple pass,46,56,56,68
1,Opponent1,Opponent1_M2,,1H,158.518016,Pass,High pass,56,68,86,35
1,Huskies,Huskies_D1,Huskies_G1,1H,161.22147,Pass,Simple pass,14,65,11,50
1,Huskies,Huskies_G1,Huskies_G1,1H,164.626056,Pass,Hand pass,11,50,5,45
1,Huskies,Huskies_G1,,1H,169.314197,Pass,Launch,5,45,47,89
1,Opponent1,Opponent1_D1,,1H,171.93773,Duel,Air duel,53,11,91,18
1,Huskies,Huskies_G1,,1H,176.839196,Pass,Launch,9,82,62,91
1,Opponent1,Opponent1_D1,,1H,180.250219,Duel,Air duel,38,9,59,14
1,Huskies,Huskies_F1,,1H,180.832306,Duel,Air duel,62,91,41,86
1,Huskies,Huskies_M3,,1H,183.458434,Others on the ball,Touch,41,86,35,90
1,Huskies,Huskies_D1,,1H,183.987009,Duel,Ground loose ball duel,35,90,28,94
1,Opponent1,Opponent1_M1,,1H,184.284749,Duel,Ground loose ball duel,65,10,72,6
1,Huskies,Huskies_D1,,1H,188.328112,Others on the ball,Touch,28,94,32,90
1,Opponent1,Opponent1_M1,,1H,188.662037,Duel,Ground attacking duel,68,10,75,0
1,Huskies,Huskies_D1,,1H,190.329509,Duel,Ground defending duel,32,90,25,100
1,Huskies,Huskies_D1,,1H,201.192228,Free Kick,Throw in,25,100,39,95
1,Huskies,Huskies_F2,,1H,203.18357,Duel,Ground attacking duel,39,95,44,95
1,Opponent1,Opponent1_M1,,1H,203.344659,Duel,Ground defending duel,61,5,56,5
1,Huskies,Huskies_F2,,1H,206.59909,Duel,Ground defending duel,44,95,44,94
1,Opponent1,Opponent1_M1,,1H,206.873669,Duel,Ground attacking duel,56,5,56,6
1,Huskies,Huskies_F2,,1H,209.472692,Foul,Foul,44,94,44,95
1,Opponent1,Opponent1_D1,,1H,236.075554,Free Kick,Free kick cross,59,9,100,100
1,Huskies,Huskies_G1,,1H,238.031525,Goalkeeper leaving line,Goalkeeper leaving line,0,0,41,91
1,Opponent1,Opponent1_F3,,1H,239.478568,Duel,Air duel,89,59,74,67
1,Huskies,Huskies_G1,,1H,239.989913,Duel,Air duel,11,41,26,33
1,Opponent1,Opponent1_M3,,1H,240.305755,Duel,Air duel,74,67,83,8
1,Huskies,Huskies_M2,,1H,240.706915,Duel,Air duel,26,33,17,92
1,Huskies,Huskies_D1,Huskies_D2,1H,247.469049,Pass,Simple pass,17,92,22,62
1,Huskies,Huskies_D2,Huskies_D3,1H,249.694665,Pass,Simple pass,22,62,19,24
1,Huskies,Huskies_D3,Huskies_G1,1H,251.513079,Pass,Simple pass,19,24,8,45
1,Huskies,Huskies_G1,Huskies_D3,1H,257.295203,Pass,Simple pass,8,45,19,13
1,Huskies,Huskies_D3,Huskies_G1,1H,259.614989,Pass,Simple pass,19,13,12,38
1,Huskies,Huskies_G1,,1H,263.911988,Pass,Launch,12,38,68,93
1,Opponent1,Opponent1_D1,,1H,266.637152,Duel,Air duel,32,7,36,0
1,Huskies,Huskies_F1,,1H,267.581741,Duel,Air duel,68,93,64,100
1,Huskies,Huskies_D2,Huskies_D3,1H,286.49734,Pass,Simple pass,48,50,55,24
1,Huskies,Huskies_D3,Huskies_D4,1H,288.281009,Pass,Simple pass,55,24,60,5
1,Huskies,Huskies_D4,Huskies_D3,1H,291.122151,Pass,Simple pass,60,5,33,21
1,Huskies,Huskies_D3,Huskies_G1,1H,294.666496,Pass,Simple pass,33,21,15,70
1,Huskies,Huskies_G1,Huskies_F1,1H,298.519487,Pass,High pass,15,70,60,99
1,Huskies,Huskies_F1,,1H,301.877951,Duel,Air duel,60,99,59,100
1,Opponent1,Opponent1_D2,,1H,314.678208,Free Kick,Throw in,41,0,70,7
1,Opponent1,Opponent1_F1,,1H,317.000118,Duel,Air duel,70,7,55,12
1,Huskies,Huskies_D1,,1H,317.431748,Duel,Air duel,30,93,45,88
1,Opponent1,Opponent1_M1,Opponent1_D1,1H,318.875721,Pass,Simple pass,55,12,62,9
1,Opponent1,Opponent1_D1,,1H,320.770799,Pass,Simple pass,62,9,73,4
1,Huskies,Huskies_D1,,1H,321.885615,Others on the ball,Touch,27,96,30,95
1,Huskies,Huskies_M1,,1H,323.965809,Duel,Ground defending duel,30,95,19,98
1,Opponent1,Opponent1_F1,,1H,324.304095,Duel,Ground attacking duel,70,5,81,2
1,Huskies,Huskies_D1,Huskies_M3,1H,325.77883,Pass,Simple pass,19,98,35,86
1,Huskies,Huskies_M3,Huskies_M1,1H,329.565823,Pass,Simple pass,35,86,30,97
1,Huskies,Huskies_M1,,1H,331.792997,Pass,Simple pass,30,97,48,87
1,Opponent1,Opponent1_M1,,1H,332.298514,Others on the ball,Touch,52,13,47,0
1,Huskies,Huskies_M1,,1H,342.429756,Free Kick,Throw in,61,100,66,93
1,Huskies,Huskies_F3,,1H,343.783009,Others on the ball,Touch,66,93,53,89
1,Opponent1,Opponent1_F2,,1H,344.974937,Duel,Ground loose ball duel,47,11,52,14
1,Huskies,Huskies_F3,,1H,345.483218,Duel,Ground loose ball duel,53,89,48,86
1,Opponent1,Opponent1_F1,,1H,346.095817,Pass,Simple pass,52,14,53,41
1,Huskies,Huskies_M2,Huskies_D3,1H,349.651805,Pass,Simple pass,47,59,47,27
1,Huskies,Huskies_D3,Huskies_M3,1H,352.602839,Pass,Simple pass,47,27,45,40
1,Huskies,Huskies_M3,Huskies_D3,1H,354.424746,Pass,Simple pass,45,40,47,12
1,Huskies,Huskies_D3,,1H,356.394218,Pass,High pass,47,12,99,9
1,Opponent1,Opponent1_G1,,1H,376.493622,Free Kick,Goal kick,100,100,19,68
1,Opponent1,Opponent1_D4,Opponent1_M3,1H,380.02212,Pass,Simple pass,19,68,27,65
1,Opponent1,Opponent1_M3,Opponent1_D3,1H,380.840808,Pass,Simple pass,27,65,27,90
1,Opponent1,Opponent1_D3,,1H,383.038963,Others on the ball,Touch,27,90,49,90
1,Opponent1,Opponent1_D3,,1H,386.393817,Pass,High pass,49,90,92,45
1,Huskies,Huskies_G1,Huskies_D1,1H,390.709116,Pass,Hand pass,8,55,25,94
1,Huskies,Huskies_D1,Huskies_D2,1H,395.609802,Pass,Simple pass,25,94,24,55
1,Huskies,Huskies_D2,Huskies_D3,1H,398.392099,Pass,Simple pass,24,55,24,20
1,Huskies,Huskies_D3,Huskies_M2,1H,401.473688,Pass,Simple pass,24,20,33,20
1,Huskies,Huskies_M2,Huskies_M3,1H,402.505899,Pass,Simple pass,33,20,33,35
1,Huskies,Huskies_M3,Huskies_D3,1H,403.23103,Pass,Simple pass,33,35,24,24
1,Huskies,Huskies_D3,Huskies_D2,1H,405.513278,Pass,Simple pass,24,24,29,68
1,Huskies,Huskies_D2,Huskies_D1,1H,409.395151,Pass,Simple pass,29,68,25,88
1,Huskies,Huskies_D1,Huskies_M1,1H,411.012684,Pass,Simple pass,25,88,31,99
1,Huskies,Huskies_M1,Huskies_D1,1H,413.899208,Pass,Simple pass,31,99,27,88
1,Huskies,Huskies_D1,Huskies_D2,1H,415.523873,Pass,Simple pass,27,88,29,53
1,Huskies,Huskies_D2,Huskies_D3,1H,417.778381,Pass,Simple pass,29,53,37,14
1,Huskies,Huskies_D3,Huskies_M2,1H,421.153644,Pass,Simple pass,37,14,42,16
1,Huskies,Huskies_M2,Huskies_D2,1H,423.251583,Pass,Simple pass,42,16,36,54
1,Huskies,Huskies_D2,Huskies_D1,1H,426.777238,Pass,Simple pass,36,54,32,85
1,Huskies,Huskies_D1,Huskies_F2,1H,429.550573,Pass,Simple pass,32,85,59,67
1,Huskies,Huskies_F2,,1H,430.165209,Duel,Ground loose ball duel,59,67,58,70
1,Opponent1,Opponent1_M1,,1H,430.180392,Duel,Ground loose ball duel,41,33,42,30
1,Opponent1,Opponent1_M3,Opponent1_F2,1H,432.039458,Pass,Simple pass,42,30,47,50
1,Opponent1,Opponent1_F2,Opponent1_D3,1H,435.131832,Pass,Simple pass,47,50,41,54
1,Opponent1,Opponent1_D3,Opponent1_G1,1H,437.284701,Pass,Simple pass,41,54,14,55
1,Opponent1,Opponent1_G1,Opponent1_D3,1H,440.931405,Pass,Simple pass,14,55,36,85
1,Opponent1,Opponent1_D3,Opponent1_M3,1H,446.42999,Pass,Simple pass,36,85,41,70
1,Opponent1,Opponent1_M3,Opponent1_D2,1H,448.823337,Pass,Simple pass,41,70,51,13
1,Opponent1,Opponent1_D2,Opponent1_D1,1H,452.249359,Pass,High pass,51,13,84,12
1,Opponent1,Opponent1_D1,,1H,457.0391,Offside,,84,12,100,100
1,Huskies,Huskies_D1,,1H,469.359989,Free Kick,Free Kick,23,92,38,74
1,Huskies,Huskies_M3,Huskies_D1,1H,470.526751,Pass,Simple pass,38,74,23,81
1,Huskies,Huskies_D1,Huskies_D2,1H,472.345004,Pass,Simple pass,23,81,33,56
1,Huskies,Huskies_D2,Huskies_D3,1H,475.81912,Pass,Simple pass,33,56,31,16
